0 242 242     241.56680298      18.24995804       0.03690049
1 263 263     195.03387451      27.97693825       0.02150175
2 248 248     240.58273315      16.34602356       0.03834338
3 149 149     246.92138672      40.92695999       0.03172771
4 95 95     227.88076782       7.25196648       0.04483220
5 105 105     223.18026733      16.90375519       0.04594512
6 83 83     241.36015320      16.44273758       0.04522442
7 91 91     175.17364502      20.34294510       0.02177558
8 57 57     212.50650024      54.88179016       0.04205766
9 61 61     181.03909302      20.34794044       0.02454212
10 67 67     173.70539856      49.07772064       0.03333502
11 65 65     246.76507568      39.52735901       0.03376279
12 55 55     229.75608826       4.52077341       0.03650492
13 48 48     169.09463501      29.25229454       0.04528210
14 56 56     229.74238586      20.81537247       0.04183411
15 49 49     155.42176819      23.92306137       0.03919195
16 40 40     165.18896484      10.55315685       0.03384049
17 42 42     232.37345886       7.57324934       0.04367390
18 66 66     220.16256714       3.46972013       0.02665093
19 49 49     158.24539185      56.74817276       0.04483817
20 50 50     230.46600342       7.70881081       0.04419582
21 49 49     123.93676758      58.32106400       0.02705388
22 59 59     167.73280334      28.54380417       0.03204319
23 48 48     244.41891479      35.00420761       0.02981465
24 38 38     156.29788208      17.25555992       0.04469892
25 40 40     140.86404419      54.82946014       0.04605408
26 41 41     231.21305847       8.42511940       0.03665083
27 33 33     165.00790405       1.77617872       0.04024962
28 43 43     170.26625061      34.34394455       0.03574478
29 36 36     200.06141663      33.14339447       0.03605696
30 37 37     170.73536682      34.11148834       0.04265869
31 39 39     117.04856873      18.55392265       0.04675252
32 42 42     247.76138306      39.79251099       0.02888059
33 36 36     178.17749023      20.63130569       0.02221306
34 39 39     167.66000366      28.76759529       0.03479194
35 28 28     162.49522400       0.32230279       0.03899863
36 32 32     139.01631165      17.62836075       0.02862414
37 35 35     233.13337708       4.68099594       0.03887512
38 27 27     233.84355164      25.29713249       0.03462760
39 43 43     234.98335266      21.86680603       0.04311183
40 31 31     227.88142395       4.51749611       0.03780212
41 44 44     231.10327148      20.76170731       0.03918322
42 26 26     242.31546021      25.71245384       0.04116576
43 24 24     139.20832825      20.19849205       0.02766526
44 28 28     229.22463989       6.93947935       0.03336032
45 36 36     241.44635010      15.79093933       0.04094683
46 36 36     182.02313232      25.23730659       0.02252750
47 24 24     123.18553162      16.88825607       0.04451228
48 28 28     223.59776306      16.35527420       0.04527752
49 27 27     125.14869690      21.06779480       0.01504071
50 31 31     239.45675659      16.31016541       0.03701460
51 24 24     196.48295593      53.65932465       0.02943887
52 29 29     119.61712646      37.78661728       0.04082455
53 22 22     123.19155121      54.13980103       0.04128188
54 22 22     231.70088196      48.61502838       0.03803760
55 24 24     176.05825806      33.51450729       0.03174671
56 25 25     239.58604431      18.08083344       0.04554692
57 19 19     208.80575562      25.05179977       0.03106652
58 29 29     230.04560852      25.72203255       0.03351577
59 24 24     136.20898438      13.56189156       0.02829974
60 19 19     221.77633667      11.59379482       0.02920517
61 10 10     249.47465515      36.07303619       0.03135448
62 20 20     146.84066772      54.47391891       0.04682021
63 30 30     156.78248596      11.01071739       0.03233630
64 24 24     235.69015503       8.24110508       0.04111819
65 20 20     214.53845215       7.56454802       0.02460696
66 23 23     161.91864014      38.93157959       0.03545894
67 22 22     153.46051025      38.76490402       0.02308648
68 19 19     218.29084778      53.23276901       0.04415592
69 26 26     221.75866699      13.66836643       0.03038906
70 21 21     156.67860413      21.72400475       0.04114499
71 23 23     181.11277771       1.89596105       0.01971865
72 26 26     203.23977661      32.60520172       0.03576168
73 22 22     195.47390747      27.62443733       0.02621074
74 12 12     128.89344788      52.78895569       0.04434117
75 19 19     214.22061157      10.80741310       0.02471170
76 14 14     216.82594299       4.80282021       0.02787935
77 24 24     205.59718323      29.84782982       0.04427636
78 24 24     155.61891174      15.75389862       0.04440505
79 16 16     196.02075195       7.90787554       0.04614226
80 16 16     155.16531372       7.85942936       0.04509381
81 18 18     224.15069580       9.36974144       0.02907720
82 16 16     241.89721680      13.94371223       0.03432425
83 24 24     152.86820984      54.65289688       0.04616466
84 19 19     222.82356262      18.68709755       0.04357828
85 26 26     168.01394653      27.58977699       0.03499561
86 21 21     247.16310120      39.55283737       0.02672890
87 16 16     223.63644409       2.96643066       0.02723644
88 31 31     218.46424866       3.67948794       0.02880870
89 19 19     205.85354614      30.06951141       0.04040089
90 26 26     235.03680420      21.51558495       0.03997790
91 22 22     201.04171753      13.97653389       0.02296783
92 11 11     232.45765686       3.51087832       0.03687204
93 19 19     252.06829834      24.14513588       0.04603706
94 15 15     203.11637878       7.31645250       0.02268597
95 11 11     176.55067444      20.39165688       0.02312537
96 12 12     229.73580933       5.19176388       0.03761747
97 18 18     226.54869080       3.14256310       0.04246682
98 15 15     195.27809143      39.84147263       0.03551813
99 17 17     208.11106873      14.49097252       0.04062590
100 14 14     249.37565613      44.14449310       0.03228377
101 17 17     217.45205688      53.96509171       0.04314478
102 19 19     162.42395020      56.64134598       0.04617728
103 16 16     197.84432983      34.41804123       0.03674847
104 15 15     252.56542969      23.57982826       0.03606135
105 10 10     245.81896973      39.91986847       0.03229371
